category_name,average_margin
IMPORTED WHISKIES,31.96
SINGLE MALT SCOTCH,16.58851483420596
TEMPORARY & SPECIALTY PACKAGES,12.765913163886259
SCOTCH WHISKIES,12.589375349617764
STRAIGHT RYE WHISKIES,12.242316312655264
DISTILLED SPIRITS SPECIALTY,12.056785714285715
SINGLE BARREL BOURBON WHISKIES,11.856421499292784
100% AGAVE TEQUILA,11.499101496679543
MEZCAL,11.436459754433837
BOTTLED IN BOND BOURBON,11.090552394499758
SPECIAL ORDER ITEMS,10.153079982324353
IMPORTED BRANDIES,10.047998258578758
IRISH WHISKIES,9.389108335271318
CORN WHISKIES,8.6123911710607
IMPORTED DRY GINS,8.365922421561404
IMPORTED CORDIALS & LIQUEURS,8.276312498877074
FLAVORED GIN,8.051103191819028
AGED DARK RUM,7.783379310344825
STRAIGHT BOURBON WHISKIES,7.543025091459629
TENNESSEE WHISKIES,7.493753876796024
IMPORTED GINS,7.379999999999998
AMERICAN DISTILLED SPIRITS SPECIALTY,6.771383500102119
CREAM LIQUEURS,6.761580754625522
IMPORTED DISTILLED SPIRITS SPECIALTY,6.250869386918192
COFFEE LIQUEURS,6.24626623376621
IMPORTED VODKAS,6.167001842930538
AMERICAN CORDIALS & LIQUEURS,5.970038694898376
WHISKEY LIQUEUR,5.708824819236402
IMPORTED FLAVORED VODKA,5.663275990611604
NEUTRAL GRAIN SPIRITS FLAVORED,5.649332689832622
CANADIAN WHISKIES,5.62255601049097
BLENDED WHISKIES,5.3565634877154045
COCKTAILS/RTD,5.331502577593577
MIXTO TEQUILA,5.312230653891126
IMPORTED SCHNAPPS,5.281722110776753
NEUTRAL GRAIN SPIRITS,5.060852516582131
FLAVORED RUM,4.807477357033903
SPICED RUM,4.688657356841899
GOLD RUM,4.512897905759174
AMERICAN DRY GINS,4.089905310063109
WHITE RUM,4.021838106068422
AMERICAN FLAVORED VODKA,3.7045874276811515
AMERICAN VODKAS,3.488237511290518
AMERICAN SCHNAPPS,3.132360906501698
AMERICAN BRANDIES,2.914693623026637
AMERICAN SLOE GINS,2.7328438948995393
TRIPLE SEC,1.3637956777996063
